"temno","cflo","evalue_ab","bitscore_ab","evalue_ba","bitscore_ba","cflo_gene","cflo_name","temno_gene","temno_name"
"TGZ31904.1","XP_025269856.1",0,14659,0,14535,"LOC105256527","microtubule-actin cross-linking factor 1 isoform X29","DBV15_01167","Bullous pemphigoid antigen 1"
"TGZ31904.1","XP_025269857.1",0,14520,0,14387,"LOC105256527","microtubule-actin cross-linking factor 1 isoform X32","DBV15_01167","Bullous pemphigoid antigen 1"
"TGZ31906.1","XP_025262156.1",0,824,0,839,"LOC105250240","uncharacterized protein LOC105250240","DBV15_01143","snRNA-activating protein complex subunit 4"
"TGZ31906.1","XP_025262157.1",0,824,0,839,"LOC105250240","uncharacterized protein LOC105250240","DBV15_01143","snRNA-activating protein complex subunit 4"
"TGZ31906.1","XP_025262158.1",0,824,0,839,"LOC105250240","uncharacterized protein LOC105250240","DBV15_01143","snRNA-activating protein complex subunit 4"
"TGZ31907.1","XP_011252913.2",2e-113,327,4e-102,297,"LOC105249282","mitochondrial import inner membrane translocase subunit Tim23 isoform X1","DBV15_01140","Mitochondrial import inner membrane translocase subunit Tim23"
"TGZ31907.1","XP_011252914.2",2e-113,327,4e-102,297,"LOC105249282","mitochondrial import inner membrane translocase subunit Tim23 isoform X2","DBV15_01140","Mitochondrial import inner membrane translocase subunit Tim23"
"TGZ31907.1","XP_011252915.2",2e-113,327,4e-102,297,"LOC105249282","mitochondrial import inner membrane translocase subunit Tim23 isoform X2","DBV15_01140","Mitochondrial import inner membrane translocase subunit Tim23"
"TGZ31908.1","XP_011252916.1",2e-140,399,2e-132,378,"LOC105249284","uncharacterized protein LOC105249284","DBV15_01141","Uncharacterized protein DBV15_01141"
"TGZ31908.1","XP_011252917.1",2e-140,399,2e-132,378,"LOC105249284","uncharacterized protein LOC105249284","DBV15_01141","Uncharacterized protein DBV15_01141"
"TGZ31908.1","XP_025269885.1",2e-140,399,2e-132,378,"LOC105249284","uncharacterized protein LOC105249284","DBV15_01141","Uncharacterized protein DBV15_01141"
"TGZ31908.1","XP_025269886.1",2e-140,399,2e-132,378,"LOC105249284","uncharacterized protein LOC105249284","DBV15_01141","Uncharacterized protein DBV15_01141"
"TGZ31909.1","XP_011254511.2",0,1382,0,1382,"LOC105250230","chondroitin sulfate synthase 2","DBV15_01146","Hexosyltransferase"
"TGZ31909.1","XP_011254512.2",0,1382,0,1382,"LOC105250230","chondroitin sulfate synthase 2","DBV15_01146","Hexosyltransferase"
"TGZ31910.1","XP_025262170.1",0,1036,0,1021,"LOC105250232","lipase maturation factor 2","DBV15_01144","Lipase maturation factor"
"TGZ31911.1","XP_011254513.1",5e-160,452,1e-159,451,"LOC105250231","ell-associated factor Eaf","DBV15_01145","Ell-associated factor Eaf"
"TGZ31915.1","XP_011265279.1",0,656,0,656,"LOC105256766","carbonic anhydrase-related protein 10 isoform X1","DBV15_01161","Carbonic anhydrase-related protein"
"TGZ31915.1","XP_011265280.1",0,664,0,664,"LOC105256766","carbonic anhydrase-related protein 10 isoform X2","DBV15_01161","Carbonic anhydrase-related protein"
"TGZ31917.1","XP_011252921.1",0,2261,0,2282,"LOC105249285","uncharacterized protein LOC105249285 isoform X1","DBV15_01142","AP2-associated protein kinase 1"
"TGZ31917.1","XP_011252922.1",0,2251,0,2273,"LOC105249285","uncharacterized protein LOC105249285 isoform X2","DBV15_01142","AP2-associated protein kinase 1"
"TGZ31917.1","XP_011252923.1",0,2249,0,2271,"LOC105249285","uncharacterized protein LOC105249285 isoform X3","DBV15_01142","AP2-associated protein kinase 1"
"TGZ31917.1","XP_011252924.1",0,2269,0,2293,"LOC105249285","uncharacterized protein LOC105249285 isoform X4","DBV15_01142","AP2-associated protein kinase 1"
"TGZ31917.1","XP_025269884.1",0,2257,0,2282,"LOC105249285","uncharacterized protein LOC105249285 isoform X5","DBV15_01142","AP2-associated protein kinase 1"
